index,hash-rate
746,0
56,0
684,0
896,0
723,0
86,0
846,0
749,0
689,0
334,0
398,0
139,0
467,0
935,0
593,0
961,0
96,0
485,0
218,0
344,0
595,0
362,0
359,0
333,0
265,0
750,0
88,0
859,0
70,0
712,0
739,0
1013,0
298,0
937,0
497,0
51,0
945,0
758,0
1076,0
560,0
800,0
101,0
605,0
972,0
479,0
965,0
220,0
319,0
309,0
538,0
321,0
423,0
947,0
756,0
761,0
866,0
31,0
513,0
810,0
389,0
477,0
394,0
208,0
286,0
1007,0
462,0
475,0
1000,0
113,0
879,0
178,0
486,0
1081,0
771,0
842,0
914,0
436,0
1036,0
655,0
895,0
107,0
1005,0
158,0
539,0
275,0
1057,0
890,0
519,0
708,0
59,0
141,0
290,0
728,0
447,0
953,0
667,0
23,0
1040,0
741,0
514,0
198,0
536,0
1061,0
928,0
451,0
83,0
109,0
964,0
192,0
798,0
453,0
231,0
346,0
478,0
377,0
49,0
210,0
355,0
618,0
209,0
76,0
599,0
10,0
952,0
787,0
336,0
306,0
585,0
626,0
909,0
420,0
427,0
824,0
611,0
499,0
575,0
1020,0
568,0
507,0
675,0
428,0
1055,0
270,0
260,0
827,0
445,0
78,0
821,0
1029,0
905,0
174,0
237,0
39,0
30,0
786,0
136,0
54,0
784,0
277,0
764,0
923,0
351,0
244,0
3,0
439,0
527,0
1056,0
888,0
752,0
318,0
1017,0
58,0
63,0
299,0
350,0
100,0
168,0
522,0
342,0
294,0
535,0
903,0
199,0
591,0
996,0
388,0
367,0
1053,0
66,0
323,0
67,0
273,0
12,0
967,0
529,0
657,0
915,0
617,0
726,0
184,0
1047,0
1006,0
858,0
381,0
308,0
954,0
534,0
745,0
701,0
243,0
716,0
361,0
2,0
1043,0
661,0
894,0
828,0
429,0
