index,hash-rate
746,127.563115
56,39.671825
684,136.485692
896,165.788554
723,133.536442
86,42.453509
846,149.558391
749,130.55785
689,140.550699
334,91.495288
398,92.681782
139,46.847562
467,107.525521
935,142.827046
593,110.977585
961,130.28005
96,42.283654
485,111.945558
218,52.391956
344,97.179224
595,110.046645
362,95.375221
359,98.845219
333,89.341777
265,64.272984
750,128.602937
88,42.328155
859,157.270063
70,43.172096
712,139.374492
739,119.831615
1013,113.343559
298,76.729088
937,147.807317
497,116.247579
51,37.486503
945,151.41507
758,135.584967
1076,142.823773
560,115.740174
800,149.519538
101,44.719919
605,115.345593
972,90.73487
479,112.391988
965,110.552159
220,53.133601
319,88.427198
309,81.396022
538,112.777077
321,89.597236
423,94.344814
947,150.991098
756,135.709931
761,128.313155
866,155.208209
31,38.60179
513,100.386176
810,150.294161
389,91.369154
477,109.631871
394,91.115589
208,52.516839
286,73.463403
1007,110.936509
462,113.456448
475,111.398346
1000,102.921207
113,42.873494
879,166.457524
178,45.391929
486,110.892855
1081,143.953931
771,134.275333
842,153.151585
914,161.148443
436,106.810854
1036,125.71804
655,128.705026
895,169.403369
107,41.927449
1005,109.887907
158,45.905141
539,109.962853
275,71.628434
1057,134.003917
890,165.551987
519,104.035696
708,140.918695
59,40.723455
141,47.450935
290,72.825207
728,120.140818
447,110.810186
953,140.202641
667,123.686956
23,41.483931
1040,129.09554
741,128.159204
514,99.14788
198,50.117787
536,114.84507
1061,136.207718
928,172.435828
451,113.958202
83,40.447832
109,43.174814
964,116.214241
192,45.88181
798,149.387454
453,110.810186
231,56.304637
346,96.238944
478,111.72956
377,91.339031
49,38.621229
210,53.373868
355,97.272491
618,124.533214
209,53.040579
76,41.364858
599,105.663297
10,46.121913
952,144.537264
787,131.392317
336,91.433869
306,78.440212
585,110.815623
626,116.374945
909,154.236799
420,96.857363
427,101.344004
824,147.877621
611,119.827426
499,113.717813
575,92.882001
1020,119.126462
568,94.670544
507,94.157586
675,122.19376
428,99.804501
1055,140.190404
270,69.400228
260,65.141259
827,149.947908
445,107.04776
78,39.460858
821,152.810308
1029,129.030252
905,137.155199
174,44.471034
237,57.826748
39,35.969936
30,39.499506
786,134.176615
136,44.263925
54,38.725393
784,136.297984
277,72.460578
764,133.063744
923,176.794472
351,93.485053
244,61.131189
3,54.123854
439,105.92893
527,109.895384
1056,134.495824
888,164.631662
752,137.215283
318,89.554385
1017,112.222868
58,42.065189
63,41.499587
299,74.848828
350,94.440182
100,44.472163
168,45.082049
522,106.308081
342,96.593924
294,72.283872
535,114.949569
903,136.207676
199,51.214226
591,112.245343
996,98.947055
388,93.211181
367,88.673391
1053,137.83646
66,42.762993
323,90.625165
67,42.006627
273,71.948489
12,47.091289
967,103.899212
529,109.697884
657,125.649848
915,167.961732
617,124.757396
726,130.7916
184,50.07858
1047,133.493711
1006,110.044865
858,153.716876
381,95.931202
308,80.706442
954,136.316427
534,115.054069
745,126.132501
701,140.042807
243,59.910359
716,144.308102
361,97.034324
2,52.846859
1043,136.270749
661,119.391426
894,169.731989
828,152.461827
429,103.031752
