index,hash-rate
746,0.635833533
56,0.033101296
684,0.697021903
896,0.897972186
723,0.676796827
86,0.052177254
846,0.786670572
749,0.656370532
689,0.724898508
334,0.388491139
398,0.396627761
139,0.082310359
467,0.498421693
935,0.740509016
593,0.522094918
961,0.654465462
96,0.05101244
485,0.528732988
218,0.120332158
344,0.427469876
595,0.515710809
362,0.415098562
359,0.438894772
333,0.373723003
265,0.201808702
750,0.642964322
88,0.051317614
859,0.839554917
70,0.05710511
712,0.716832431
739,0.582813213
1013,0.538320061
298,0.287228946
937,0.774662229
497,0.558234964
51,0.01811501
945,0.799403122
758,0.690845
1076,0.740486571
560,0.554755332
800,0.786404129
101,0.067719618
605,0.552049413
972,0.383276419
479,0.531794472
965,0.519177473
220,0.125418138
319,0.367451094
309,0.319233387
538,0.534435297
321,0.375474865
423,0.408032338
947,0.796495649
756,0.691701966
761,0.640977083
866,0.825415337
31,0.025763315
513,0.449462196
810,0.791716263
389,0.38762615
477,0.512866413
394,0.385887277
208,0.121188568
286,0.264833853
1007,0.521813231
462,0.539094221
475,0.524980371
1000,0.466846682
113,0.055057386
879,0.902559782
178,0.072328062
486,0.521513865
1081,0.748236857
771,0.681863921
842,0.811311624
914,0.866151689
436,0.49352072
1036,0.623180559
655,0.643664418
895,0.922761508
107,0.048569692
1005,0.514622231
158,0.075847517
539,0.515136189
275,0.252250183
1057,0.680002631
890,0.89634988
519,0.474489515
708,0.727422115
59,0.04031306
141,0.086448111
290,0.260457295
728,0.584933635
447,0.520946945
953,0.72251163
667,0.609251991
23,0.045528178
1040,0.646342446
741,0.639921333
514,0.440970331
198,0.104736586
536,0.548616976
1061,0.69511564
928,0.943557207
451,0.5425351
83,0.03842292
109,0.057123749
964,0.558006342
192,0.07568752
798,0.785498337
453,0.520946945
231,0.147164157
346,0.421021716
478,0.527251738
377,0.387419575
49,0.025896622
210,0.127065817
355,0.428109473
618,0.615055376
209,0.124780221
76,0.044711611
599,0.485651117
10,0.077334074
952,0.752237181
787,0.662093057
336,0.388069946
306,0.298963324
585,0.520984231
626,0.559108402
909,0.818753698
420,0.425262649
427,0.456030694
824,0.775144353
611,0.582784486
499,0.540886584
575,0.398000803
1020,0.577977484
568,0.410266097
507,0.406748384
675,0.599012099
428,0.445473242
1055,0.722427712
270,0.236969812
260,0.207763073
827,0.789341763
445,0.495145351
78,0.031654547
821,0.808971248
1029,0.645894721
905,0.701613182
174,0.066012839
237,0.15760234
39,0.007714846
30,0.031919583
786,0.681186942
136,0.064592547
54,0.026610947
784,0.695734658
277,0.257956779
764,0.673555205
923,0.973447487
351,0.402136354
244,0.18026321
3,0.132208998
439,0.487472749
527,0.514673506
1056,0.683375982
888,0.890038566
752,0.702025221
318,0.375181006
1017,0.530634697
58,0.049514272
63,0.045635542
299,0.274334684
350,0.408686343
100,0.066020581
168,0.070202997
522,0.490072853
342,0.423456063
294,0.256744982
535,0.549333599
903,0.695115352
199,0.112255637
591,0.530788824
996,0.439593133
388,0.400258221
367,0.369139412
1053,0.706285067
66,0.054299603
323,0.382524095
67,0.049112671
273,0.254445025
12,0.083981766
967,0.473553548
529,0.51331911
657,0.622712919
915,0.912875192
617,0.616592749
726,0.65797352
184,0.104467716
1047,0.67650379
1006,0.515698602
858,0.815188221
381,0.418911314
308,0.314504453
954,0.695861134
534,0.550050229
745,0.626022809
701,0.721415536
243,0.171891122
716,0.750665657
361,0.426476195
2,0.123451747
1043,0.695547888
661,0.579794528
894,0.925015086
828,0.806581469
429,0.467604766
